STATE,STATUS,EFFECTIVE
Alabama,Not Adopted,
Alaska,Adopted,9-1-2015
Arizona,Adopted,1-1-2014
Arkansas,Adopted,1-1-2014
California,Adopted,1-1-2014
Colorado,Adopted,1-1-2014
Connecticut,Adopted,1-1-2014
Delaware,Adopted,1-1-2014
District of Columbia,Adopted,1-1-2014
Florida,Not Adopted,
Georgia,Not Adopted,
Hawaii,Adopted,1-1-2014
Idaho,Adopted,1-1-2020
Illinois,Adopted,1-1-2014
Indiana,Adopted,2-1-2015
Iowa,Adopted,1-1-2014
Kansas,Not Adopted,
Kentucky,Adopted,1-1-2014
Louisiana,Adopted,7-1-2016
Maine,Adopted,7-2-2018
Maryland,Adopted,1-1-2014
Massachusetts,Adopted,1-1-2014
Michigan,Adopted,4-1-2014
Minnesota,Adopted,1-1-2014
Mississippi,Not Adopted,
Missouri,Adopted,7-1-2021
Montana,Adopted,1-1-2016
Nebraska,Adopted,10-1-2020
Nevada,Adopted,1-1-2014
New Hampshire,Adopted,8-15-2014
New Jersey,Adopted,1-1-2014
New Mexico,Adopted,1-1-2014
New York,Adopted,1-1-2014
North Carolina,Not Adopted,
North Dakota,Adopted,1-1-2014
Ohio,Adopted,1-1-2014
Oklahoma,Adopted,7-1-2021
Oregon,Adopted,1-1-2014
Pennsylvania,Adopted,1-1-2015
Rhode Island,Adopted,1-1-2014
South Carolina,Not Adopted,
South Dakota,Adopted,7-1-2023
Tennessee,Not Adopted,
Texas,Not Adopted,
Utah,Adopted,1-1-2020
Vermont,Adopted,1-1-2014
Virginia,Adopted,1-1-2019
Washington,Adopted,1-1-2014
West Virginia,Adopted,1-1-2014
Wisconsin,Not Adopted,
Wyoming,Not Adopted,
